id,value,county_id,year_id
1,79.8,1,1
2,30.3,2,1
3,71,3,1
4,79.5,4,1
5,77.3,5,1
6,38.5,6,1
7,21.1,7,1
8,20.3,8,1
9,75.4,9,1
10,3.5,10,1
11,35.1,11,1
12,26.9,12,1
13,4.5,13,1
14,75.5,1,2
15,28.1,2,2
16,68.3,3,2
17,74.8,4,2
18,75.1,5,2
19,34.8,6,2
20,19,7,2
21,17.2,8,2
22,75.9,9,2
23,3.4,10,2
24,32.3,11,2
25,24.4,12,2
26,4.5,13,2
27,65.7,1,3
28,22.9,2,3
29,62,3,3
30,67.6,4,3
31,66.5,5,3
32,28.1,6,3
33,14.7,7,3
34,11.8,8,3
35,73.5,9,3
36,2.1,10,3
37,28.1,11,3
38,20.7,12,3
39,3.7,13,3
40,61,1,4
41,19.3,2,4
42,59.7,3,4
43,63.2,4,4
44,60,5,4
45,24.2,6,4
46,13.5,7,4
47,10,8,4
48,68.2,9,4
49,2.7,10,4
50,24,11,4
51,18.1,12,4
52,5,13,4
53,62,14,5
54,72.1,15,5
55,30.6,16,5
56,26.9,17,5
57,13.5,18,5
58,13.8,19,5
59,20.7,20,5
60,59.1,21,5
61,18.3,22,5
62,54.8,23,5
63,13.3,24,5
64,17.9,25,5
65,8.3,26,5
66,6.8,27,5
67,9,28,5
68,7.5,29,5
69,6,30,5
70,2.2,31,5
71,2.4,32,5
72,2.2,33,5
73,2.3,34,5
74,6.6,35,5
75,60.1,14,6
76,69,15,6
77,29.4,16,6
78,26.4,17,6
79,14.4,18,6
80,14.6,19,6
81,21.1,20,6
82,52,21,6
83,21.8,22,6
84,50.3,23,6
85,13.4,24,6
86,18,25,6
87,10.8,26,6
88,11.3,27,6
89,12.5,28,6
90,10.2,29,6
91,11.2,30,6
92,9.5,31,6
93,11.1,32,6
94,9.3,33,6
95,10,34,6
96,11,35,6
97,57.2,14,7
98,65.4,15,7
99,27.4,16,7
100,24.6,17,7
101,13.2,18,7
102,12.9,19,7
103,18.6,20,7
104,47.3,21,7
105,19.2,22,7
106,43.9,23,7
107,11.4,24,7
108,15.3,25,7
109,9.7,26,7
110,10.8,27,7
111,12.3,28,7
112,8.9,29,7
113,11.2,30,7
114,7.8,31,7
115,9.8,32,7
116,9.9,33,7
117,9.3,34,7
118,11.1,35,7
