path id,Sir,Sir,1991,2001,2011
10,Ynys Môn,Ynys Môn,62,60.1,57.2
4276-8,Gwynedd,Gwynedd,72.1,69,65.4
14,Conwy,Conwy,30.6,29.4,27.4
4190,Sir Ddinbych,Sir Ddinbych,26.9,26.4,24.6
4192,Sir y Ffflint,Sir y Ffflint,13.5,14.4,13.2
4206,Wrecsam,Wrecsam,13.8,14.6,12.9
18,Powys,Powys,20.7,21.1,18.6
4286-7,Ceredigion,Ceredigion,59.1,52,47.3
4282,Sir Benfro,Sir Benfro,18.3,21.8,19.2
4284-1,Sir Gaerfyrddin,Sir Gaerfyrddin,54.8,50.3,43.9
4306,Abertawe,Abertawe,13.3,13.4,11.4
4322,Castell-nedd Port Talbot,Castell-nedd Port Talbot,17.9,18,15.3
4532,Pen-y-bont ar Ogwr,Pen-y-bont ar Ogwr,8.3,10.8,9.7
4518,Bro Morgannwg,Bro Morgannwg,6.8,11.3,10.8
4326,Rhondda Cynon Taf,Rhondda Cynon Taf,9,12.5,12.3
4328,Merthyr Tudful,Merthyr Tudful,7.5,10.2,8.9
4318,Caerffili,Caerffili,6,11.2,11.2
4324,Blaenau Gwent,Blaenau Gwent,2.2,9.5,7.8
4320,Tor-faen,Tor-faen,2.4,11.1,9.8
26,Sir Fynwy,Sir Fynwy,2.2,9.3,9.9
4530,Casnewydd,Casnewydd,2.3,10,9.3
4520,Caerdydd,Caerdydd,6.6,11,11.1
